"","sentence_id","word","element_id","word_count","sentiment","ave_sentiment","sd_sentiment"
"502",5387,"shares",5728,1,0.1,0.1,NA
"503",5394,"exchange",5735,1,0.25,0.25,NA
"504",5399,"exchange",5740,1,0.25,0.25,NA
"505",5405,"general",5747,1,0.4,0.4,NA
"506",5416,"general",5758,1,0.4,0.4,NA
"507",5454,"presence",5800,1,0.4,0.4,NA
"508",5459,"approve",5806,1,0.5,0.5,NA
"509",5467,"general",5814,1,0.4,0.4,NA
"510",5477,"adopt",5826,1,0.5,0.5,NA
"511",5492,"chairman",5843,1,0.25,0.25,NA
"512",5511,"share",5864,1,0.5,0.5,NA
"513",5520,"approve",5878,1,0.5,0.5,NA
"514",5541,"elect",5902,1,0.6,0.6,NA
"515",5549,"director",5910,1,0.25,0.25,NA
"516",5572,"eligible",5934,1,0.8,0.8,NA
"517",5594,"director",5957,1,0.25,0.25,NA
"518",5612,"eligible",5976,1,0.8,0.8,NA
"519",5667,"special",6036,1,0.8,0.8,NA
"520",5671,"received",6040,1,0.6,0.6,NA
"521",5711,"risk",6085,1,-0.75,-0.75,NA
"522",5717,"continue",6091,1,0.4,0.4,NA
"523",5799,"general",6181,1,0.4,0.4,NA
"524",5807,"received",6189,1,0.6,0.6,NA
"525",5823,"entitled",6207,1,-0.25,-0.25,NA
"526",5832,"entitled",6216,1,-0.25,-0.25,NA
"527",5876,"advance",6260,1,0.8,0.8,NA
"528",5880,"general",6264,1,0.4,0.4,NA
"529",5926,"general",6317,1,0.4,0.4,NA
